formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C7H2N3O2PS2	[M + Na]+	C7H2N3O2PS2	4.234818061358569	4.234818061358569	0.0	2	0.7257357746541141	-1.090763790069367	1.090763790069367	0.8072979797857764	
2	CH8N2O5PS3	[M + Na]+	CH8N2O5PS3	1.7332143611087556	1.7332143611087556	0.0	3	0.7698169757166696	-0.4337074583371079	0.6570563317322591	-1.6791977841741252	
3	C4HNO10S	[M + Na]+	C4HNO10S	-0.6094379124341003	-0.6094379124341003	0.0	1	0.0	NaN	NaN	2.565711894709716	
4	C5H5NO5S3	[M + Na]+	C5H5NO5S3	-0.6094379124341003	-0.6094379124341003	0.0	1	0.0	NaN	NaN	-0.5611648680767745	
5	C4H3NO8P2	[M + Na]+	C4H3NO8P2	-0.6094379124341003	-0.6094379124341003	0.0	1	0.0	NaN	NaN	-2.0150113692068263	
6	C6H9NS5	[M + Na]+	C6H9NS5	-1.181073477290981	-1.181073477290981	0.0	1	0.0	NaN	NaN	-3.688041630863265	
7	CH3N7OP2S2	[M + Na]+	CH3N7OP2S2	-1.7417578314424356	-1.7417578314424356	0.0	2	0.7257357746541141	-1.090763790069367	1.090763790069367	4.520418259370167	
8	C3H5N4O2P2S2	[M + Na]+	C3H5N4O2P2S2	-2.8870884767632568	-2.8870884767632568	0.0	4	0.7407053880387283	-1.090763790069367	2.1515161856475182	-0.3107349363115744	
9	C8H5NOP4	[M + Na]+	C8H5NOP4	-3.605170185988091	-3.605170185988091	0.0	1	0.0	NaN	NaN	2.4071494487921115	
10	C2H9O6P2S2	[M + Na]+	C2H9O6P2S2	-3.644932072137494	-3.644932072137494	0.0	1	0.0	NaN	NaN	4.501376948953282	
