formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C3H2O9P4	[M + K]+	C3H2O9P4	-0.6094379124341003	-0.6094379124341003	0.0	1	0.0	NaN	NaN	-6.601199865346001	
2	C7H2Cl4O5	[M + K]+	C7H2Cl4O5	-0.6094379124341003	-0.6094379124341003	0.0	1	0.0	NaN	NaN	-8.647798407331363	
3	C2H2Cl4N2O7	[M + K]+	C2H2Cl4N2O7	-1.0729099717037607	-1.0729099717037607	0.0	1	0.0	NaN	NaN	3.0182656845590192	
4	CHO11P5	[M + H]+	CHO11P5	-1.9993859548382713	-1.9993859548382713	0.0	1	0.0	NaN	NaN	-6.265349135346551	
5	C4HCl3O8P2	[M + H]+	C4HCl3O8P2	-2.2188758248682006	-2.2188758248682006	0.0	1	0.0	NaN	NaN	-7.800298041959208	
6	C12BrCl3O	[M + H]+	C12BrCl3O	-2.2188758248682006	-2.2188758248682006	0.0	1	0.0	NaN	NaN	-3.701034126607168	
7	C6H5BrCl4O3	[M + H]+	C6H5BrCl4O3	-2.2188758248682006	-2.2188758248682006	0.0	1	0.0	NaN	NaN	2.658466631095394	
8	C3HCl2O9P3	[M + H]+	C3HCl2O9P3	-2.2188758248682006	-2.2188758248682006	0.0	1	0.0	NaN	NaN	-7.288648406421656	
9	C5HCl4O7P	[M + H]+	C5HCl4O7P	-2.2188758248682006	-2.2188758248682006	0.0	1	0.0	NaN	NaN	-8.311947677331913	
10	C2HClO10P4	[M + H]+	C2HClO10P4	-2.2188758248682006	-2.2188758248682006	0.0	1	0.0	NaN	NaN	-6.776998770884103	
11	C4HBrCl2N2O6	[M + Na]+	C4HBrCl2N2O6	-2.2188758248682006	-2.2188758248682006	0.0	1	0.0	NaN	NaN	-8.450388590377042	
