formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C3H6N7O6P3S3	[M + H]+	C3H6N7O6P3S3	7.2242584603044815	7.2242584603044815	0.0	4	0.6201574702800103	-1.4455028758636888	1.4455028758636888	0.04636466119477648	
1	C3H3N6O6P3S3	[M + H3N + H]+	C3H6N7O6P3S3	7.2242584603044815	7.2242584603044815	0.0	4	0.6201574702800103	-1.4455028758636888	1.4455028758636888	0.04636466119477648	
1	C3H8N7O7P3S3	[M - H2O + H]+	C3H6N7O6P3S3	7.2242584603044815	7.2242584603044815	0.0	5	0.6201574702800103	-1.4455028758636888	1.4455028758636888	-42289.91415616285	
1	C3H4N7O5P3S3	[M + H2O + H]+	C3H6N7O6P3S3	7.2242584603044815	7.2242584603044815	0.0	3	0.5994045177217816	-1.2310848109298687	1.2310848109298687	0.04636466119477648	
2	C6H8N5O4P3S3	[M + Na]+	C6H8N5O4P3S3	6.37218607405722	6.37218607405722	0.0	4	0.6201574702800103	-1.4455028758636888	1.4455028758636888	-3.750624063826103	
3	C11H12NO4P3S4	[M - H2O + H]+	C11H10NO3P3S4	3.841795538805887	3.841795538805887	0.0	3	0.581944012075497	-1.0166667459960488	1.0166667459960488	-42290.34448117588	
3	C11H10NO3P3S4	[M + H]+	C11H10NO3P3S4	3.841795538805887	3.841795538805887	0.0	2	0.581944012075497	-1.0166667459960488	1.0166667459960488	-0.3839603518371834	
4	C6H4NO15PS2	[M + H]+	C6H4NO15PS2	3.7939324632868066	3.7939324632868066	0.0	2	0.581944012075497	-1.0166667459960488	1.0166667459960488	-1.229235254410251	
4	C6H6NO16PS2	[M - H2O + H]+	C6H4NO15PS2	3.7939324632868066	3.7939324632868066	0.0	3	0.581944012075497	-1.0166667459960488	1.0166667459960488	-42291.18975607845	
5	C5H8N4O2P4S4	[M + H3N + H]+	C5H11N5O2P4S4	3.7727243413422435	3.7727243413422435	0.0	4	0.6201574702800103	-1.4455028758636888	1.4455028758636888	2.0391431901556945	
5	C5H13N5O3P4S4	[M - H2O + H]+	C5H11N5O2P4S4	3.7727243413422435	3.7727243413422435	0.0	5	0.6201574702800103	-1.4455028758636888	1.4455028758636888	-42287.92137763388	
5	C5H11N5O2P4S4	[M + H]+	C5H11N5O2P4S4	3.7727243413422435	3.7727243413422435	0.0	4	0.6201574702800103	-1.4455028758636888	1.4455028758636888	2.0391431901556945	
5	C5H9N5OP4S4	[M + H2O + H]+	C5H11N5O2P4S4	3.7727243413422435	3.7727243413422435	0.0	3	0.5994045177217816	-1.2310848109298687	1.2310848109298687	2.0391431901556945	
6	C10H6NO8P3S2	[M + H]+	C10H6NO8P3S2	3.7355185157353774	3.7355185157353774	0.0	2	0.581944012075497	-1.0166667459960488	1.0166667459960488	1.6565731048735783	
6	C10H8NO9P3S2	[M - H2O + H]+	C10H6NO8P3S2	3.7355185157353774	3.7355185157353774	0.0	3	0.581944012075497	-1.0166667459960488	1.0166667459960488	-42288.303947719294	
7	C9H7N3O8P2S3	[M - H2O + H]+	C9H5N3O7P2S3	3.722117404001152	3.722117404001152	0.0	3	0.581944012075497	-1.0166667459960488	1.0166667459960488	-42292.33725970484	
7	C9H5N3O7P2S3	[M + H]+	C9H5N3O7P2S3	3.722117404001152	3.722117404001152	0.0	2	0.581944012075497	-1.0166667459960488	1.0166667459960488	-2.3767388805311573	
8	C6H6N5O6PS4	[M + Na]+	C6H6N5O6PS4	3.7079293719466473	3.7079293719466473	0.0	3	0.6087043936853316	-0.9356748431554618	0.9356748431554618	-0.7613412154590897	
9	C11H8NO5PS5	[M + H]+	C11H8NO5PS5	3.6711921125040674	3.6711921125040674	0.0	2	0.581944012075497	-1.0166667459960488	1.0166667459960488	2.6053224963963575	
9	C11H10NO6PS5	[M - H2O + H]+	C11H8NO5PS5	3.6711921125040674	3.6711921125040674	0.0	3	0.581944012075497	-1.0166667459960488	1.0166667459960488	-42287.35519832764	
10	C7H8NO10PS4	[M + H]+	C7H8NO10PS4	3.660574131027698	3.660574131027698	0.0	2	0.581944012075497	-1.0166667459960488	1.0166667459960488	-3.2697687111210127	
10	C7H10NO11PS4	[M - H2O + H]+	C7H8NO10PS4	3.660574131027698	3.660574131027698	0.0	3	0.581944012075497	-1.0166667459960488	1.0166667459960488	-42293.23028953529	
11	C6H8N5O5P3S2	[M + K]+	C6H8N5O5P3S2	3.091416722088744	3.091416722088744	0.0	4	0.6201574702800103	1.4198545558253188	1.4198545558253188	3.8077473423544705	
