formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C12H7NO5P2S3	[M + K]+	C12H7NO5P2S3	3.7351254222287387	3.7351254222287387	0.0	3	0.30275870727684656	0.7367551233041324	2.1794800222167643	2.3159261351501685	
2	C11H6N3O4PS4	[M + K]+	C11H6N3O4PS4	3.61269986888674	3.61269986888674	0.0	3	0.3126458821985196	-2.320403202972014	2.320403202972014	-1.5715420182690136	
3	C11H3NO10P2S	[M + K]+	C11H3NO10P2S	3.4900559660791335	3.4900559660791335	0.0	3	0.30275870727684656	0.7367551233041324	2.1794800222167643	4.282674270765368	
4	C10H4N3O7P3S	[M + K]+	C10H4N3O7P3S	3.1826906295125803	3.1826906295125803	0.0	3	0.30275870727684656	0.7367551233041324	2.1794800222167643	-2.485984803469856	
5	C10H2N3O9PS2	[M + K]+	C10H2N3O9PS2	3.135164639298763	3.135164639298763	0.0	3	0.30275870727684656	0.7367551233041324	2.1794800222167643	0.39520611747483175	
6	C5H4N5O9P3S	[M + K]+	C5H4N5O9P3S	3.0906268138841217	3.0906268138841217	0.0	3	0.30275870727684656	0.7367551233041324	2.1794800222167643	6.618158827067376	
7	C8H7NO10P2S2	[M + K]+	C8H7NO10P2S2	3.013370393454665	3.013370393454665	0.0	3	0.30275870727684656	0.7367551233041324	2.1794800222167643	-3.3467228368576043	
8	C6H6N5O6PS4	[M + K]+	C6H6N5O6PS4	2.899763697521085	2.899763697521085	0.0	3	0.30275870727684656	0.7367551233041324	2.1794800222167643	7.532601612268218	
9	C9H11NO5P2S4	[M + K]+	C9H11NO5P2S4	2.844735174004336	2.844735174004336	0.0	3	0.30275870727684656	-0.7235184739807038	0.7235184739807038	-5.31347097260145	
10	C7H7N3O6P2S4	[M + Na]+	C7H7N3O6P2S4	2.8329077798793363	2.8329077798793363	0.0	3	0.3126458821985196	0.7924077473261598	2.2351326462387915	4.135007702897267	
