structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	N/A	-51.67993600264805	C6H12O4	[M + H3N + H]+	GNYUQIKGCJOIOO	InChI=1S/C6H12O4/c1-4(8)5(2-3-7)6(9)10/h4-5,7-8H,2-3H2,1H3,(H,9,10)	3-hydroxy-2-(2-hydroxyethyl)butanoic acid	CC(C(CCO)C(=O)O)O	-0.800000012	23317309	PubChem:(23317309)	2
2	1	N/A	-53.521374588646374	C6H12O4	[M + H3N + H]+	OXRCIWQBMUSWJB	InChI=1S/C6H12O4/c7-1-3-9-5-6-10-4-2-8/h1-6H2	null	C(COCCOCC[O])[O]	-0.920538723	53627955	PubChem:(53627955)	2
3	1	N/A	-55.03083767659016	C6H12O4	[M + H3N + H]+	MPGVCOGWZRBQEA	InChI=1S/C6H12O4/c1-2-4(6(9)10)5(8)3-7/h4-5,7-8H,2-3H2,1H3,(H,9,10)	null	CCC(C(CO)O)C(=O)O	-0.600000024	87308121;87473821;87473822;87475986	PubChem:(87308121 87473821 87473822 87475986)	2
4	1	N/A	-55.19803053604344	C6H12O4	[M + H3N + H]+	JVYDLYGCSIHCMR	InChI=1S/C6H12O4/c1-2-6(3-7,4-8)5(9)10/h7-8H,2-4H2,1H3,(H,9,10)	Dimethylol butanoic acid	CCC(CO)(CO)C(=O)O	-0.899999976	3301396;20608068	NORMAN:(NS00008772);PubChem class - food;PubChem class - safety and toxic;PubChem:(3301396 20608068);PubMed	201588802
5	1	N/A	-57.41198129941476	C6H12O4	[M + H3N + H]+	CRSBWIMUFDBIJT	InChI=1S/C6H12O4/c1-2-10-6(4-8)5(9)3-7/h2,5-9H,1,3-4H2	null	C=COC(CO)C(CO)O	-1.10000002	89084582;89084606;118407689	PubChem:(89084582 89084606 118407689)	2
6	1	N/A	-59.92508627380741	C6H12O4	[M + H3N + H]+	WESBWDZFWNIVRV	InChI=1S/C6H12O4/c7-3-1-2-4(8)6(10)5(3)9/h3-10H,1-2H2	Cyclohexaneerythritol	C1CC(C(C(C1O)O)O)O	-1.79999995	278584;12185233;10942602;10997189;14114295;14114296;14114297;10176209;11768720;59034018;59082196;59893968;88973017;89229450;91279198;91313947;91574565;130762459;135036847	COCONUT:(CNP0275191);Natural Products:(UNPD14654);PubChem:(278584 12185233 10942602 10997189 14114295 14114296 14114297 10176209 11768720 59034018 59082196 59893968 88973017 89229450 91279198 91313947 91574565 130762459 135036847);SuperNatural:(SN00352745)	3178498
7	1	N/A	-60.110221302833345	C6H12O4	[M + H3N + H]+	ZRLDZNJHKNEJIC	InChI=1S/C6H12O4/c1-2-10-4-5(7)3-6(8)9/h5,7H,2-4H2,1H3,(H,8,9)	4-ethoxy-3-hydroxybutanoic acid	CCOCC(CC(=O)O)O	-0.699999988	23108411	PubChem:(23108411)	2
8	1	N/A	-62.82540745756724	C6H12O4	[M + H3N + H]+	RUSJDZRTPDUURW	InChI=1S/C6H12O4/c1-4(7)2-5(8)3-6(9)10/h4-5,7-8H,2-3H2,1H3,(H,9,10)	3,5-dihydroxyhexanoic acid	CC(CC(CC(=O)O)O)O	-0.800000012	19094782;22850990;59041324;59093870	PubChem:(19094782 22850990 59041324 59093870);PubMed;KEGG Mine	8589934658
9	1	N/A	-63.07782457384542	C6H12O4	[M + H3N + H]+	YXCDZXGJZDGMEP	InChI=1S/C6H12O4/c1-5(10)6(2-7,3-8)4-9/h7-9H,2-4H2,1H3	2-Butanone, 4-hydroxy-3,3-bis(hydroxymethyl)-	CC(=O)C(CO)(CO)CO	-2.29999995	12930551	PubChem:(12930551)	2
10	1	N/A	-63.1090426769158	C6H12O4	[M + H3N + H]+	UBFARMVNFGAAMO	InChI=1S/C6H12O4/c7-2-1-5(3-8)6(10)4-9/h3,5-7,9-10H,1-2,4H2	null	C(CO)C(C=O)C(CO)O	-1.89999998	54751963;76186241	PubChem:(54751963 76186241)	2
11	1	N/A	-63.523821791197335	C6H12O4	[M + H3N + H]+	UKVXVZXVGDBVAE	InChI=1S/C6H12O4/c1-6(4-8,2-3-7)5(9)10/h7-8H,2-4H2,1H3,(H,9,10)	null	CC(CCO)(CO)C(=O)O	-0.899999976	87075715	PubChem:(87075715)	2
12	1	N/A	-63.946270648482816	C6H12O4	[M + H3N + H]+	NIEMXLMENUNFQV	InChI=1S/C6H12O4/c7-3-1-2-5(4-8)6(9)10/h5,7-8H,1-4H2,(H,9,10)	null	C(CC(CO)C(=O)O)CO	-0.899999976	21585012	PubChem:(21585012)	2
13	1	N/A	-64.01186738694878	C6H12O4	[M + H3N + H]+	WYLWLHZJWDHREL	InChI=1S/C6H12O4/c7-1-2-9-3-5(8)6-4-10-6/h5-8H,1-4H2	null	C1C(O1)C(COCCO)O	-1.5	20533702	PubChem:(20533702)	2
14	1	N/A	-64.30921631793834	C6H12O4	[M + H3N + H]+	LTRSLEDXGXYXEU	InChI=1S/C6H12O4/c1-4(2-7)6(10)5(9)3-8/h2,4-6,8-10H,3H2,1H3	null	CC(C=O)C(C(CO)O)O	-0.974333048	54052204;121397580	PubChem:(54052204 121397580)	2
15	1	N/A	-65.07213898405188	C6H12O4	[M + H3N + H]+	SHFQFRSQYXYSFN	InChI=1S/C6H12O4/c1-4-9-3-5(8)6(2-7)10-4/h4-8H,2-3H2,1H3	1,3-Dioxane-4-methanol, 5-hydroxy-2-methyl-	CC1OCC(C(O1)CO)O	-0.400000006	14134374;14134376;11286557;45082866;130763624;130940775	PubChem:(14134374 14134376 11286557 45082866 130763624 130940775)	2
16	1	N/A	-66.56806849185531	C6H12O4	[M + H3N + H]+	KJAWJQPWBWZRAS	InChI=1S/C6H12O4/c1-3-10-5(4(2)7)6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9)	null	CCOC(C(C)O)C(=O)O	-0.200000003	91575467	PubChem:(91575467)	2
17	1	N/A	-66.57240272083978	C6H12O4	[M + H3N + H]+	WUPJJEAVCYEIEG	InChI=1S/C6H12O4/c7-3-1-2-5(9)6(10)4-8/h6-8,10H,1-4H2	null	C(CC(=O)C(CO)O)CO	-1.70000005	91411620	PubChem:(91411620)	2
18	1	N/A	-66.72622016681387	C6H12O4	[M + H3N + H]+	SOHTZWVCHSEHHZ	InChI=1S/C6H12O4/c1-4(8)6(10)5(9)2-3-7/h5-7,9-10H,2-3H2,1H3	null	CC(=O)C(C(CCO)O)O	-1.60000002	130036221;130673597	PubChem:(130036221 130673597)	2
19	1	N/A	-67.41004501681175	C6H12O4	[M + H3N + H]+	DKJDDXJJYXHLFR	InChI=1S/C6H12O4/c1-4(8)6(10)5(9)2-3-7/h4,6-8,10H,2-3H2,1H3	null	CC(C(C(=O)CCO)O)O	-0.832977474	""	EcoCyc Mine	17179869184
20	1	N/A	-68.11433483864099	C6H12O4	[M + H3N + H]+	QRPLMNRUNFKKJY	InChI=1S/C6H12O4/c7-3-1-5(2-4-8)6(9)10/h5,7-8H,1-4H2,(H,9,10)	4-hydroxy-2-(2-hydroxyethyl)butanoic acid	C(CO)C(CCO)C(=O)O	-0.899999976	22253701	PubChem:(22253701)	2
21	1	N/A	-68.19390408195319	C6H12O4	[M + H3N + H]+	ZRDKNTASDLSPCG	InChI=1S/C6H12O4/c7-3-1-2-5(9)6(10)4-8/h1-2,5-10H,3-4H2	null	C(C=CC(C(CO)O)O)O	-2.0999999	57037308;122624599;131240966	PubChem:(57037308 122624599 131240966)	2
22	1	N/A	-68.63495014413678	C6H12O4	[M + H3N + H]+	IMXCEUOMKHNTOT	InChI=1S/C6H12O4/c1-2-4(7)5(8)3-6(9)10/h4-5,7-8H,2-3H2,1H3,(H,9,10)	null	CCC(C(CC(=O)O)O)O	-0.600000024	55298935;87308120;96882458	PubChem:(55298935 87308120 96882458);KEGG Mine	8589934594
23	1	N/A	-68.91015009606625	C6H12O4	[M + H3N + H]+	GJQLIULSPASPSK	InChI=1S/C6H12O4/c1-4(6(9)10)5(8)2-3-7/h4-5,7-8H,2-3H2,1H3,(H,9,10)	null	CC(C(CCO)O)C(=O)O	-0.699999988	87275219	PubChem:(87275219)	2
24	1	N/A	-68.94335670652109	C6H12O4	[M + H3N + H]+	LJFKEIAGMQINJL	InChI=1S/C6H12O4/c1-2-10-4-6(9)5(8)3-7/h2,5-9H,1,3-4H2	(2R,3S)-4-ethenoxybutane-1,2,3-triol	C=COCC(C(CO)O)O	-1.10000002	22867097	PubChem:(22867097)	2
25	1	N/A	-69.38531964744915	C6H12O4	[M + H3N + H]+	BFWKQDMSPGJDGS	InChI=1S/C6H12O4/c1-6(3-7,4-8)2-5(9)10/h7-8H,2-4H2,1H3,(H,9,10)	Butanoic acid, 4-hydroxy-3-(hydroxymethyl)-3-methyl-	CC(CC(=O)O)(CO)CO	-1.0	23439367	PubChem:(23439367)	2
26	1	N/A	-69.55338818206785	C6H12O4	[M + H3N + H]+	RTESPEIDNJCLBG	InChI=1S/C6H12O4/c7-2-1-5(9)3-6(10)4-8/h6-8,10H,1-4H2	1,5,6-trihydroxyhexan-3-one	C(CO)C(=O)CC(CO)O	-2.20000005	18373706	PubChem:(18373706)	2
27	1	N/A	-69.85068912437076	C6H12O4	[M + H3N + H]+	HQDHQHUBDQPVEQ	InChI=1S/C6H12O4/c7-3-1-5(9)6(10)2-4-8/h5,7-9H,1-4H2	null	C(CO)C(C(=O)CCO)O	-1.70000005	56980998	PubChem:(56980998)	2
28	1	N/A	-70.00711444066573	C6H12O4	[M + H3N + H]+	ULSVSUDBYQMMBR	InChI=1S/C6H12O4/c1-4(2-7)6(10)5(9)3-8/h3-7,9-10H,2H2,1H3	null	CC(CO)C(C(C=O)O)O	-1.39999998	130146802;130903803	PubChem:(130146802 130903803)	2
